Org,Region,Female,has.na,Block,blocknum,treat,CollectorName,CollectorId,Responses,N
Engineering,EMEA,0,FALSE,Engineering-EMEA,1,1,Web Link 1,1,0,2
Engineering,EMEA,0,FALSE,Engineering-EMEA,1,0,Web Link 2,2,0,1
Services,APAC,0,FALSE,Services-APAC,2,1,Web Link 3,3,0,4
Services,APAC,1,FALSE,Services-APAC,2,0,Web Link 4,4,0,4
Engineering,AMS,0,FALSE,Male-Engineering-AMS,3,1,Web Link 5,5,4,64
Engineering,AMS,0,FALSE,Male-Engineering-AMS,3,0,Web Link 6,6,3,65
Services,AMS,0,FALSE,Male-Services-AMS,4,1,Web Link 7,7,8,40
Services,AMS,0,FALSE,Male-Services-AMS,4,0,Web Link 8,8,3,40
Services,EMEA,0,FALSE,Male-Services-EMEA,5,1,Web Link 9,9,2,20
Services,EMEA,0,FALSE,Male-Services-EMEA,5,0,Web Link 10,10,1,19
Engineering,AMS,1,FALSE,Female-Engineering-AMS,6,1,Web Link 11,11,3,14
Engineering,AMS,1,FALSE,Female-Engineering-AMS,6,0,Web Link 12,12,0,14
Services,AMS,1,FALSE,Female-Services-AMS,7,1,Web Link 13,13,6,31
Services,AMS,1,FALSE,Female-Services-AMS,7,0,Web Link 14,14,0,31
Services,EMEA,1,FALSE,Female-Services-EMEA,8,1,Web Link 15,15,1,10
Services,EMEA,1,FALSE,Female-Services-EMEA,8,0,Web Link 16,16,2,11
Services,AMS,NA,TRUE,HasNas,9,0,Web Link 18,18,0,0
Engineering,AMS,NA,TRUE,HasNas,9,0,Web Link 18,18,0,0
NA,AMS,0,TRUE,HasNas,9,0,Web Link 18,18,0,0
NA,AMS,1,TRUE,HasNas,9,0,Web Link 18,18,0,0
